epoch,step,update,train_loss
0,0,0,21.097729841868084
0,1,1,18.523174444834392
0,2,2,16.92196051279704
0,3,3,15.897997935612997
0,4,4,15.658790985743204
0,5,5,15.037024339040121
0,6,6,14.576714038848877
0,7,7,13.999715089797974
0,8,8,13.86887502670288
0,9,9,13.729876041412354
0,10,10,13.731837828954061
0,11,11,13.033079147338867
0,12,12,12.853501319885254
0,13,13,13.162479321161905
0,14,14,12.414209524790445
0,15,15,12.535778204600016
0,16,16,12.498490254084269
0,17,17,12.414517164230347
0,18,18,11.82392398516337
0,19,19,11.826837301254272
0,20,20,11.524553616841635
0,21,21,12.134767770767212
0,22,22,11.485460837682089
0,23,23,11.422643343607584
0,24,24,11.072235107421875
0,25,25,10.817662636439005
0,26,26,11.117479006449381
0,27,27,10.939675092697144
0,28,28,11.146143674850464
0,29,29,10.915608167648315
0,30,30,10.724930365880331
0,31,31,10.75119145711263
0,32,32,10.53378693262736
0,33,33,10.766276995340982
0,34,34,10.60399333635966
0,35,35,10.509487708409628
0,36,36,10.455958604812622
0,37,37,10.593917767206827
0,38,38,10.489881992340088
0,39,39,10.354726870854696
0,40,40,10.583759228388468
0,41,41,10.550380229949951
0,42,42,10.197064320246378
0,43,43,10.376658280690512
0,44,44,10.056121905644735
0,45,45,9.811518907546997
0,46,46,10.218887408574423
0,47,47,9.964357376098633
0,48,48,9.8268461227417
0,49,49,10.047024965286255
0,50,50,9.688109874725342
0,51,51,9.817498127619425
0,52,52,9.842917203903198
0,53,53,9.612768491109213
0,54,54,9.670070807139078
0,55,55,9.614004135131836
0,56,56,9.712587197621664
0,57,57,9.4654750029246
0,58,58,9.699249347050985
0,59,59,9.819528420766195
0,60,60,9.78478455543518
0,61,61,9.749504089355469
0,62,62,9.401349544525146
0,63,63,9.574357350667318
0,64,64,9.240404764811197
0,65,65,9.134001016616821
0,66,66,9.804125626881918
0,67,67,9.22046979268392
0,68,68,9.70876955986023
0,69,69,9.665612697601318
0,70,70,9.268088738123575
0,71,71,9.35612448056539
0,72,72,9.248040676116943
0,73,73,9.818052212397257
0,74,74,9.366055329640707
0,75,75,9.22929342587789
0,76,76,9.58317788441976
0,77,77,8.940317471822103
0,78,78,9.145546038945517
0,79,79,9.243170261383057
0,80,80,9.046620766321817
0,81,81,9.263407389322916
0,82,82,9.144298394521078
0,83,83,9.307026068369547
0,84,84,8.990312218666077
0,85,85,9.053744753201803
0,86,86,8.987430890401205
0,87,87,9.088131189346313
0,88,88,9.30764102935791
0,89,89,9.527265707651773
0,90,90,9.130370378494263
0,91,91,9.263895988464355
0,92,92,8.92249854405721
0,93,93,8.988611221313477
0,94,94,8.943650086720785
0,95,95,8.83296283086141
0,96,96,9.094005664189657
0,97,97,8.95249080657959
0,98,98,8.999373833338419
0,99,99,8.99758013089498
0,100,100,9.18773094813029
0,101,101,8.909958839416504
0,102,102,8.705967227617899
0,103,103,8.72235655784607
0,104,104,9.164336522420248
0,105,105,8.572561860084534
0,106,106,8.858149210611979
0,107,107,9.088769435882568
0,108,108,8.838630040486654
0,109,109,8.93325932820638
0,110,110,8.821890115737915
0,111,111,9.042683998743692
0,112,112,8.55279552936554
0,113,113,8.799621979395548
0,114,114,8.891345898310343
0,115,115,8.919638633728027
0,116,116,8.807832876841227
0,117,117,8.59926144282023
0,118,118,8.929181257883707
0,119,119,8.931641817092896
0,120,120,8.624852657318115
0,121,121,8.70464297135671
0,122,122,8.68087069193522
0,123,123,8.686584949493408
0,124,124,8.998889923095703
0,125,125,8.740420579910278
0,126,126,8.858405391375223
0,127,127,8.56353235244751
1,0,128,8.507703304290771
1,1,129,8.90809985001882
1,2,130,8.63854412237803
1,3,131,8.534934480985006
1,4,132,8.590020696322123
1,5,133,8.387486020723978
1,6,134,8.481793761253357
1,7,135,8.447646101315817
1,8,136,8.686606923739115
1,9,137,8.63349195321401
1,10,138,8.951093037923178
1,11,139,8.677621523539225
1,12,140,8.283180117607117
1,13,141,8.696680863698324
1,14,142,8.44466519355774
1,15,143,8.613720417022705
1,16,144,8.577617208162943
1,17,145,8.791198333104452
1,18,146,8.774780750274658
1,19,147,8.445279637972513
1,20,148,8.664437214533487
1,21,149,8.38433051109314
1,22,150,8.774054050445557
1,23,151,8.532781759897867
1,24,152,8.554908355077108
1,25,153,8.61868985493978
1,26,154,8.182777722676596
1,27,155,8.636305848757425
1,28,156,8.58701777458191
1,29,157,8.54332685470581
1,30,158,8.900084296862284
1,31,159,8.557845989863077
1,32,160,8.867278019587198
1,33,161,8.4718466202418
1,34,162,8.602400620778402
1,35,163,8.644829034805298
1,36,164,8.503364046414694
1,37,165,8.590224583943685
1,38,166,8.236246109008789
1,39,167,8.53454335530599
1,40,168,8.248009840647379
1,41,169,8.549953063329061
1,42,170,8.358700513839722
1,43,171,8.23166255156199
1,44,172,8.42539668083191
1,45,173,8.241498668988546
1,46,174,8.737118681271872
1,47,175,8.48584771156311
1,48,176,8.383849064509073
1,49,177,8.334371646245321
1,50,178,8.633332014083862
1,51,179,8.411126136779785
1,52,180,8.504889806111654
1,53,181,8.482407251993815
1,54,182,8.380712429682413
1,55,183,8.637152671813965
1,56,184,8.383915781974792
1,57,185,8.373936454455057
1,58,186,8.393513003985086
1,59,187,8.289531826972961
1,60,188,8.59247342745463
1,61,189,8.405957460403442
1,62,190,8.41472347577413
1,63,191,8.366686582565308
1,64,192,8.45624033610026
1,65,193,8.43664844830831
1,66,194,8.554986834526062
1,67,195,8.520049929618835
1,68,196,8.442715167999268
1,69,197,8.475333571434021
1,70,198,8.28891428311666
1,71,199,8.373092810312906
1,72,200,8.563394705454508
1,73,201,8.325256506601969
1,74,202,8.049442728360495
1,75,203,8.49345596631368
1,76,204,8.431824564933777
1,77,205,8.267790158589682
1,78,206,8.341434439023336
1,79,207,8.143287579218546
1,80,208,8.227929512659708
1,81,209,8.408570686976114
1,82,210,8.07595431804657
1,83,211,8.416245301564535
1,84,212,8.205572962760925
1,85,213,8.19090767701467
1,86,214,8.172143538792929
1,87,215,8.357676148414612
1,88,216,8.284702062606812
1,89,217,8.276572306950888
1,90,218,8.394603053728739
1,91,219,8.231424570083618
1,92,220,8.184800187746683
1,93,221,8.299553592999777
1,94,222,8.216954588890076
1,95,223,8.101485848426819
1,96,224,8.343226790428162
1,97,225,8.189496040344238
1,98,226,8.326503912607828
1,99,227,8.272416671117147
1,100,228,8.089328368504843
1,101,229,8.338009595870972
1,102,230,8.173544963200888
1,103,231,8.13233502705892
1,104,232,7.9549325704574585
1,105,233,8.184176524480185
1,106,234,8.21769368648529
1,107,235,8.014021476109823
1,108,236,8.470140099525452
1,109,237,8.344000260035196
1,110,238,8.183804988861084
1,111,239,8.165092309316
1,112,240,8.203067382176718
1,113,241,8.301904559135437
1,114,242,7.998733758926392
1,115,243,8.101834019025167
1,116,244,8.00689971446991
1,117,245,8.138982256253561
1,118,246,8.327191789944967
1,119,247,8.018181403477987
1,120,248,8.11443837483724
1,121,249,8.368821740150452
1,122,250,8.217609286308289
1,123,251,8.26993445555369
1,124,252,8.255313992500305
1,125,253,8.240698973337809
1,126,254,8.129398783047995
1,127,255,8.163522124290466
