epoch,step,update,train_loss
0,0,0,22.708209196726482
0,1,1,19.86677885055542
0,2,2,18.46659564971924
0,3,3,17.251205444335938
0,4,4,16.299609581629436
0,5,5,16.24290696779887
0,6,6,15.586910406748453
0,7,7,15.011733770370483
0,8,8,15.100810845692953
0,9,9,14.682178417841593
0,10,10,14.875186602274576
0,11,11,14.009288311004639
0,12,12,13.749208688735962
0,13,13,14.252484639485678
0,14,14,13.261300404866537
0,15,15,13.434120893478394
0,16,16,13.395369132359823
0,17,17,12.992665449778238
0,18,18,12.492166439692179
0,19,19,12.424244244893393
0,20,20,12.392547925313314
0,21,21,12.722461700439453
0,22,22,12.341676712036133
0,23,23,12.29365587234497
0,24,24,11.658165295918783
0,25,25,11.519919792811075
0,26,26,11.939044316609701
0,27,27,11.723164002100626
0,28,28,12.048262039820353
0,29,29,11.561230659484863
0,30,30,11.251899798711142
0,31,31,11.345841805140177
0,32,32,11.189734617869059
0,33,33,11.369984785715738
0,34,34,11.56830366452535
0,35,35,11.354064544041952
0,36,36,11.159650405248007
0,37,37,11.057788054148356
0,38,38,11.10518749554952
0,39,39,10.876463890075684
0,40,40,11.371814966201782
0,41,41,11.338722546895346
0,42,42,10.886253118515015
0,43,43,10.995185613632202
0,44,44,10.687055031458536
0,45,45,10.530016978581747
0,46,46,11.042710145314535
0,47,47,10.712387959162394
0,48,48,10.514244476954142
0,49,49,10.634730339050293
0,50,50,10.724425474802652
0,51,51,10.456017017364502
0,52,52,10.35675303141276
0,53,53,10.302288929621378
0,54,54,10.39839537938436
0,55,55,10.330622593561808
0,56,56,10.403232018152872
0,57,57,10.243706623713175
0,58,58,10.337686936060587
0,59,59,10.477064768473307
0,60,60,10.487138509750366
0,61,61,10.264116684595743
0,62,62,10.126339117685953
0,63,63,10.348617553710938
0,64,64,10.11889680226644
0,65,65,9.763259410858154
0,66,66,10.215521176656088
0,67,67,10.032018025716146
0,68,68,10.377460956573486
0,69,69,10.281380494435629
0,70,70,9.986150105794271
0,71,71,9.915644963582357
0,72,72,9.978678464889526
0,73,73,10.445694128672281
0,74,74,10.190026760101318
0,75,75,9.999802748362223
0,76,76,10.226821502049765
0,77,77,9.773082653681437
0,78,78,9.725977738698324
0,79,79,9.80426820119222
0,80,80,9.637813329696655
0,81,81,9.880266348520914
0,82,82,9.791471163431803
0,83,83,9.862467209498087
0,84,84,9.553362925847372
0,85,85,9.701236645380655
0,86,86,9.667396783828735
0,87,87,9.737578630447388
0,88,88,9.987281243006388
0,89,89,10.053487459818522
0,90,90,9.49661922454834
0,91,91,9.810554345448812
0,92,92,9.650623798370361
0,93,93,9.620173374811808
0,94,94,9.602954228719076
0,95,95,9.365137020746866
0,96,96,9.64032252629598
0,97,97,9.589034716288248
0,98,98,9.54953384399414
0,99,99,9.563250064849854
0,100,100,9.769409656524658
0,101,101,9.5657111008962
0,102,102,9.2347571849823
0,103,103,9.257566849390665
0,104,104,9.676349957784018
0,105,105,9.110696077346802
0,106,106,9.304901440938314
0,107,107,9.735548575719198
0,108,108,9.401836395263672
0,109,109,9.402491172154745
0,110,110,9.270086288452148
0,111,111,9.725725809733072
