target_params,epochs,seq_len,batch_size,lr,weight_decay,vocab_size,n_layers,n_heads,max_train_batches,max_eval_batches,grad_accum_steps,compile,num_workers,model_type,architecture_strategy,d_model,logit_scale,actual_trainable_params,effective_train_batch_size,micro_train_batch_size,effective_eval_batch_size,train_sequences_seen,train_tokens_seen,eval_sequences_seen,eval_tokens_seen,validation_loss,certainty_mean
1695792,2,128,12,0.0003,0.1,32000,10,1,128,,1,False,2,traditional_transformer_lm,auto_gpt_style_depth_width_search,45,0.14907119849998599,1694700,12,12,12,3072,393216,1888,241664,9.775050923794131,8.876810059956381e-05
2181960,2,128,12,0.0003,0.1,32000,11,1,128,,1,False,2,traditional_transformer_lm,auto_gpt_style_depth_width_search,55,0.13483997249264842,2174315,12,12,12,3072,393216,1888,241664,9.720546867274031,9.805703500861927e-05
3323664,2,128,12,0.0003,0.1,32000,11,1,128,,1,False,2,traditional_transformer_lm,auto_gpt_style_depth_width_search,78,0.11322770341445956,3320382,12,12,12,3072,393216,1888,241664,9.606231544591203,0.00012073699105678338
12533920,2,128,12,0.0003,0.1,32000,11,4,128,,1,False,2,traditional_transformer_lm,auto_gpt_style_depth_width_search,208,0.06933752452815364,12423632,12,12,12,3072,393216,1888,241664,9.192088736763484,0.00026312674623413034
13738596,2,128,12,0.0003,0.1,32000,12,4,128,,1,False,2,traditional_transformer_lm,auto_gpt_style_depth_width_search,216,0.06804138174397717,13692240,12,12,12,3072,393216,1888,241664,9.17471888699109,0.0002607208228289869
17353992,2,128,12,0.0003,0.1,32000,11,4,128,,1,False,2,traditional_transformer_lm,auto_gpt_style_depth_width_search,260,0.062017367294604234,17314180,12,12,12,3072,393216,1888,241664,9.078279446951951,0.0003365926200279353
