epoch,step,train_loss
0,0,15.256990432739258
0,1,14.707709312438965
0,2,14.695898056030273
0,3,14.57579231262207
0,4,14.359637260437012
0,5,14.067354202270508
0,6,13.888408660888672
0,7,13.400959014892578
0,8,13.814668655395508
0,9,13.623549461364746
0,10,13.40903091430664
0,11,12.97101879119873
0,12,13.327255249023438
0,13,13.061677932739258
0,14,12.849318504333496
0,15,12.716654777526855
0,16,12.673969268798828
0,17,12.935959815979004
0,18,13.083837509155273
0,19,13.10359001159668
0,20,12.580414772033691
0,21,12.897851943969727
0,22,12.350957870483398
0,23,12.350427627563477
0,24,11.70047664642334
0,25,11.941557884216309
0,26,12.31479549407959
0,27,12.080820083618164
0,28,11.590066909790039
0,29,12.166547775268555
0,30,12.079012870788574
0,31,12.588539123535156
0,32,11.988615036010742
0,33,11.447542190551758
0,34,11.965739250183105
0,35,11.813627243041992
0,36,11.280159950256348
0,37,11.64462661743164
0,38,12.043996810913086
0,39,11.783745765686035
0,40,12.053266525268555
0,41,11.254961967468262
0,42,11.806558609008789
0,43,11.593894958496094
0,44,12.148502349853516
0,45,11.29043960571289
0,46,11.255083084106445
0,47,11.432079315185547
0,48,11.548910140991211
0,49,11.730094909667969
0,50,11.808156967163086
0,51,11.419187545776367
0,52,10.939828872680664
0,53,10.908106803894043
0,54,10.982182502746582
0,55,11.760529518127441
0,56,11.231761932373047
0,57,11.238240242004395
0,58,11.343893051147461
0,59,11.061321258544922
0,60,10.93514633178711
0,61,11.149250030517578
0,62,10.922601699829102
0,63,11.095832824707031
0,64,10.972850799560547
0,65,11.416556358337402
0,66,11.425524711608887
0,67,11.452493667602539
0,68,10.61323356628418
0,69,10.768692970275879
0,70,11.18211555480957
0,71,10.522743225097656
0,72,10.629058837890625
0,73,10.656393051147461
0,74,10.685111045837402
0,75,11.022531509399414
0,76,10.724309921264648
0,77,10.448626518249512
0,78,10.621477127075195
0,79,10.705323219299316
0,80,10.358417510986328
0,81,11.234153747558594
0,82,10.510221481323242
0,83,10.855886459350586
0,84,10.438197135925293
0,85,10.513328552246094
0,86,10.561224937438965
0,87,10.444345474243164
0,88,10.589212417602539
0,89,11.060365676879883
0,90,10.34018611907959
0,91,10.82641315460205
0,92,10.763846397399902
0,93,10.35911750793457
0,94,10.519368171691895
0,95,9.946236610412598
0,96,10.58120346069336
0,97,10.52522087097168
0,98,10.231640815734863
0,99,10.354448318481445
0,100,10.393903732299805
0,101,10.209844589233398
0,102,10.605117797851562
0,103,9.988225936889648
0,104,10.294116020202637
0,105,10.518938064575195
0,106,10.512683868408203
0,107,10.047037124633789
0,108,9.90141487121582
0,109,10.791862487792969
0,110,10.331002235412598
0,111,9.806074142456055
0,112,9.987667083740234
0,113,10.557107925415039
0,114,10.268320083618164
0,115,9.822574615478516
0,116,10.55255126953125
0,117,10.397836685180664
0,118,10.38418960571289
0,119,10.39285659790039
0,120,10.21473217010498
0,121,9.890965461730957
0,122,10.020545959472656
0,123,10.243146896362305
0,124,10.119195938110352
0,125,10.037515640258789
0,126,9.801470756530762
0,127,9.559021949768066
1,0,10.030647277832031
1,1,9.953842163085938
1,2,10.224193572998047
1,3,10.04606819152832
1,4,10.887960433959961
1,5,9.386110305786133
1,6,10.071272850036621
1,7,9.423449516296387
1,8,9.525568008422852
1,9,10.122932434082031
1,10,9.881631851196289
1,11,9.741636276245117
1,12,9.758377075195312
1,13,10.484344482421875
1,14,9.77624797821045
1,15,10.209676742553711
1,16,9.334705352783203
1,17,9.932077407836914
1,18,9.66788101196289
1,19,9.925416946411133
1,20,9.383319854736328
1,21,9.688337326049805
1,22,10.255361557006836
1,23,10.160847663879395
1,24,10.176944732666016
1,25,10.088433265686035
1,26,9.746801376342773
1,27,9.343151092529297
1,28,10.017056465148926
1,29,9.475811958312988
1,30,9.721659660339355
1,31,9.814665794372559
1,32,9.3212251663208
1,33,9.75904369354248
1,34,9.706756591796875
1,35,9.260276794433594
1,36,9.589326858520508
1,37,9.721874237060547
1,38,9.73015308380127
1,39,9.73512077331543
1,40,9.490464210510254
1,41,10.034465789794922
1,42,9.53901481628418
1,43,9.983232498168945
1,44,9.801655769348145
1,45,9.417548179626465
1,46,9.658370971679688
1,47,9.42806625366211
1,48,9.770120620727539
1,49,9.455171585083008
1,50,9.590169906616211
1,51,9.277643203735352
1,52,9.72225570678711
1,53,9.857077598571777
1,54,9.234391212463379
1,55,9.699617385864258
1,56,9.315109252929688
1,57,9.442161560058594
1,58,9.270587921142578
1,59,9.736747741699219
1,60,9.311980247497559
1,61,9.940353393554688
1,62,9.29511833190918
1,63,9.43076229095459
1,64,9.677064895629883
1,65,9.857828140258789
1,66,9.482294082641602
1,67,9.449945449829102
1,68,9.314603805541992
1,69,9.336078643798828
1,70,9.413585662841797
1,71,9.558897972106934
1,72,9.306112289428711
1,73,10.106836318969727
1,74,9.266806602478027
1,75,9.667410850524902
1,76,9.477804183959961
1,77,10.357136726379395
1,78,9.501836776733398
1,79,9.208308219909668
1,80,9.901679992675781
1,81,9.505783081054688
1,82,9.69294261932373
1,83,9.998680114746094
1,84,9.537680625915527
1,85,9.581067085266113
1,86,9.108171463012695
1,87,9.24647045135498
1,88,8.724891662597656
1,89,9.478973388671875
1,90,10.275996208190918
1,91,9.25851058959961
1,92,9.332515716552734
1,93,9.398157119750977
1,94,9.390218734741211
1,95,9.773568153381348
1,96,9.482146263122559
1,97,9.383136749267578
1,98,9.63925552368164
1,99,10.123492240905762
1,100,9.048028945922852
1,101,9.421289443969727
1,102,9.120447158813477
1,103,8.858141899108887
1,104,9.669023513793945
