epoch,step,train_loss
0,0,74.71604919433594
0,1,56.045265197753906
0,2,49.94512939453125
0,3,43.44894027709961
0,4,44.785423278808594
0,5,41.89186096191406
0,6,39.3371467590332
0,7,37.87641906738281
0,8,37.58198547363281
0,9,35.998382568359375
0,10,39.72461700439453
0,11,35.99256896972656
0,12,32.74836349487305
0,13,33.52239990234375
0,14,34.569679260253906
0,15,32.18703079223633
0,16,34.28911590576172
0,17,33.63247299194336
0,18,34.45353317260742
0,19,29.789762496948242
0,20,31.504995346069336
0,21,30.39413070678711
0,22,32.661659240722656
0,23,29.13556480407715
0,24,27.732107162475586
0,25,27.870803833007812
0,26,26.81351089477539
0,27,29.316068649291992
0,28,27.14006805419922
0,29,26.951702117919922
0,30,28.055255889892578
0,31,33.773719787597656
0,32,29.496044158935547
0,33,25.84531021118164
0,34,31.13849449157715
0,35,27.26361083984375
0,36,26.705495834350586
0,37,34.085670471191406
0,38,26.040233612060547
0,39,25.349468231201172
0,40,25.339078903198242
0,41,25.697057723999023
0,42,24.442663192749023
0,43,24.190383911132812
0,44,23.64797592163086
0,45,24.276897430419922
0,46,24.056270599365234
0,47,27.059926986694336
0,48,24.307296752929688
0,49,25.943828582763672
0,50,24.73299789428711
0,51,23.84079360961914
0,52,23.23080062866211
0,53,23.82620620727539
0,54,23.208908081054688
0,55,26.461509704589844
0,56,22.94965171813965
0,57,22.442852020263672
0,58,22.16573143005371
0,59,22.180492401123047
0,60,23.574565887451172
0,61,26.764760971069336
0,62,23.606006622314453
0,63,22.599302291870117
0,64,21.39981460571289
0,65,21.65328598022461
0,66,21.566143035888672
0,67,23.94715118408203
0,68,23.052419662475586
0,69,21.74993133544922
0,70,21.71906280517578
0,71,20.875932693481445
0,72,21.171844482421875
0,73,21.475444793701172
0,74,21.040447235107422
0,75,21.163726806640625
0,76,21.929595947265625
0,77,20.458946228027344
0,78,19.813873291015625
0,79,21.573532104492188
0,80,20.469802856445312
0,81,29.883270263671875
0,82,30.815114974975586
0,83,20.244857788085938
0,84,20.814579010009766
0,85,20.18708038330078
0,86,20.405086517333984
0,87,19.804340362548828
0,88,29.121068954467773
0,89,19.729169845581055
0,90,20.085376739501953
0,91,24.78326988220215
0,92,20.618080139160156
0,93,19.740673065185547
0,94,20.15581512451172
0,95,19.933639526367188
0,96,18.81151580810547
0,97,19.213171005249023
0,98,19.550540924072266
0,99,19.49639320373535
0,100,19.014606475830078
0,101,19.172271728515625
0,102,19.291961669921875
0,103,18.947532653808594
0,104,18.91167449951172
0,105,18.274600982666016
0,106,19.039066314697266
0,107,27.045360565185547
0,108,17.931806564331055
0,109,18.001972198486328
0,110,18.47530746459961
0,111,17.961978912353516
0,112,18.1420955657959
0,113,18.089828491210938
0,114,17.836545944213867
0,115,19.19580841064453
0,116,26.172842025756836
0,117,18.95699691772461
0,118,17.83895492553711
0,119,17.938390731811523
0,120,17.621646881103516
0,121,18.55856704711914
0,122,17.149898529052734
0,123,18.413639068603516
0,124,18.508869171142578
0,125,17.73969841003418
0,126,18.064985275268555
0,127,17.494247436523438
1,0,18.023473739624023
1,1,17.97940444946289
1,2,17.90700340270996
1,3,17.14588165283203
1,4,17.647804260253906
1,5,16.913660049438477
1,6,16.933692932128906
1,7,17.157230377197266
1,8,16.769515991210938
1,9,16.865936279296875
1,10,20.103199005126953
1,11,16.387128829956055
1,12,17.197233200073242
1,13,18.452171325683594
1,14,17.224531173706055
1,15,27.667503356933594
1,16,17.105857849121094
1,17,27.628721237182617
1,18,16.660982131958008
1,19,16.833438873291016
1,20,16.937307357788086
1,21,26.340240478515625
1,22,17.066120147705078
1,23,16.987987518310547
1,24,16.84864616394043
1,25,26.288986206054688
1,26,16.395095825195312
1,27,15.893865585327148
1,28,16.672956466674805
1,29,16.372573852539062
1,30,16.14672088623047
1,31,15.587824821472168
1,32,15.827970504760742
1,33,15.672407150268555
1,34,15.757548332214355
1,35,15.827392578125
1,36,15.574575424194336
1,37,15.265658378601074
1,38,16.234394073486328
1,39,15.239934921264648
1,40,15.898783683776855
1,41,15.282801628112793
1,42,15.38662338256836
1,43,15.207816123962402
1,44,14.9502592086792
1,45,15.394804954528809
1,46,16.12662696838379
1,47,14.929530143737793
1,48,15.175524711608887
1,49,14.64802360534668
1,50,15.190336227416992
1,51,15.298219680786133
