k,total_params,scheduler,epochs,seq_len,batch_size,lr,weight_decay,vocab_size,max_train_batches,max_eval_batches,compile,num_workers,auto_batch_by_k,active_column_fraction,effective_train_batch_size,effective_eval_batch_size,active_column_count,train_sequences_seen,train_tokens_seen,eval_sequences_seen,eval_tokens_seen,d_model,ensemble_loss,avg_individual_loss,ensemble_gain,member_certainty_mean,member_certainty_min,member_certainty_max,member_certainty_std,prediction_dissimilarity_kl,member_certainty_by_index,most_certain_member_index,least_certain_member_index,member_certainty_range,member_certainty_observed_count_min,member_certainty_observed_count_max
16,1000000,min,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,16,24,3072,12,1536,72,28.02130699157715,34.731441497802734,6.710134506225586,0.6589658260345459,0.6346918344497681,0.6744359731674194,0.011256786063313484,1.8609799146652222,"[0.6744359731674194, 0.6574673652648926, 0.6607171893119812, 0.659095823764801, 0.6701549887657166, 0.6556707620620728, 0.6346918344497681, 0.659725546836853, 0.6592931151390076, 0.6717330813407898, 0.6605249643325806, 0.671870231628418, 0.6672183871269226, 0.6589042544364929, 0.6431413292884827, 0.6388078331947327]",0,6,0.03974413871765137,1,1
16,1000000,max,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,16,24,3072,12,1536,72,26.97866439819336,35.12360763549805,8.144943237304688,0.6654985547065735,0.6331841945648193,0.6857824325561523,0.013445474207401276,2.132448673248291,"[0.6331841945648193, 0.6531571745872498, 0.6658719182014465, 0.682895839214325, 0.6610778570175171, 0.6644970178604126, 0.659369170665741, 0.6682807803153992, 0.6813409328460693, 0.6741341352462769, 0.6754268407821655, 0.6857824325561523, 0.6466439366340637, 0.6590221524238586, 0.6747488975524902, 0.6625436544418335]",11,0,0.05259823799133301,1,1
16,10000000,min,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,16,24,3072,12,1536,228,44.72515106201172,58.61799240112305,13.892841339111328,0.8134591579437256,0.7591463923454285,0.9430751800537109,0.05800608918070793,1.6868813037872314,"[0.8106200098991394, 0.7896456718444824, 0.8019639849662781, 0.8093835711479187, 0.7955175638198853, 0.7699493169784546, 0.7807259559631348, 0.7698327302932739, 0.7889341711997986, 0.7652875185012817, 0.7591463923454285, 0.7819454669952393, 0.8049384951591492, 0.9057738184928894, 0.9386062622070312, 0.9430751800537109]",15,10,0.18392878770828247,1,1
16,10000000,max,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,16,24,3072,12,1536,228,42.00407791137695,63.0111198425293,21.007041931152344,0.8575888276100159,0.7942926287651062,0.9841312766075134,0.05857815220952034,1.7622569799423218,"[0.8396624326705933, 0.8302428722381592, 0.842272162437439, 0.8424915671348572, 0.8203600645065308, 0.7942926287651062, 0.8224048614501953, 0.8290573954582214, 0.8366917967796326, 0.8733453154563904, 0.9820858240127563, 0.9575004577636719, 0.9841312766075134, 0.8239647746086121, 0.8230878710746765, 0.8198304176330566]",12,5,0.18983864784240723,1,1
64,1000000,min,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,64,24,3072,12,1536,36,17.351520538330078,24.502899169921875,7.151378631591797,0.4683768153190613,0.4049564301967621,0.540164589881897,0.026540551334619522,3.081052303314209,"[0.45369094610214233, 0.45585721731185913, 0.45099958777427673, 0.47434180974960327, 0.48781704902648926, 0.5175358653068542, 0.4968821406364441, 0.49027514457702637, 0.540164589881897, 0.5021270513534546, 0.4977044463157654, 0.48830220103263855, 0.5094349384307861, 0.4856839179992676, 0.4890248775482178, 0.4752987325191498, 0.4755149483680725, 0.46455904841423035, 0.46986255049705505, 0.47095566987991333, 0.44060397148132324, 0.4220486581325531, 0.4324975907802582, 0.4739990234375, 0.42261379957199097, 0.4049564301967621, 0.41435107588768005, 0.4263031482696533, 0.4505292773246765, 0.48194432258605957, 0.467960923910141, 0.4445551335811615, 0.45156824588775635, 0.41458210349082947, 0.46118026971817017, 0.5174480676651001, 0.49849003553390503, 0.4913598895072937, 0.47242581844329834, 0.4754663407802582, 0.4884033203125, 0.5092126727104187, 0.4703567922115326, 0.4801863133907318, 0.47220510244369507, 0.4741147458553314, 0.4599839150905609, 0.47497129440307617, 0.4507768750190735, 0.4550493657588959, 0.4478762149810791, 0.4650418162345886, 0.47358760237693787, 0.4679883122444153, 0.47706732153892517, 0.47183042764663696, 0.46493685245513916, 0.4427124857902527, 0.4167444109916687, 0.47307175397872925, 0.46707427501678467, 0.46110138297080994, 0.4793962240219116, 0.4715110957622528]",8,25,0.1352081596851349,1,1
64,1000000,max,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,64,24,3072,12,1536,36,16.54749298095703,25.25265121459961,8.705158233642578,0.4851001799106598,0.44020146131515503,0.561737596988678,0.02308577485382557,3.5616817474365234,"[0.4988246560096741, 0.5080699920654297, 0.4958324432373047, 0.5164231657981873, 0.4833917021751404, 0.5261013507843018, 0.45849138498306274, 0.45897769927978516, 0.4768464267253876, 0.4929041862487793, 0.49320560693740845, 0.4943690896034241, 0.49626582860946655, 0.5005776286125183, 0.46735113859176636, 0.4775717258453369, 0.46549472212791443, 0.4581150412559509, 0.4468444585800171, 0.482011079788208, 0.5229742527008057, 0.46219807863235474, 0.49085769057273865, 0.47853732109069824, 0.4426543116569519, 0.500942587852478, 0.4970191419124603, 0.4946482181549072, 0.49081581830978394, 0.4675162434577942, 0.44020146131515503, 0.49667295813560486, 0.4595760107040405, 0.488332599401474, 0.4821256995201111, 0.44729194045066833, 0.5059711933135986, 0.4760056436061859, 0.561737596988678, 0.5240726470947266, 0.5012322664260864, 0.4793824553489685, 0.5090934634208679, 0.47117090225219727, 0.4866451621055603, 0.48627281188964844, 0.46292567253112793, 0.4873311519622803, 0.4869409203529358, 0.47868525981903076, 0.4835938811302185, 0.5064210295677185, 0.5055594444274902, 0.486053466796875, 0.4854251742362976, 0.4463406205177307, 0.45801517367362976, 0.4653701186180115, 0.4870348870754242, 0.5242146253585815, 0.4803847670555115, 0.5171360373497009, 0.4596513509750366, 0.46370929479599]",38,30,0.12153613567352295,1,1
