latin_budget_label,k,scheduler,latin_d_model,latin_actual_params,traditional_target_params,traditional_actual_params,param_delta_traditional_minus_latin,param_ratio_traditional_over_latin,latin_ensemble_loss,traditional_validation_loss,loss_delta_traditional_minus_latin,train_tokens_seen
1000000,16,max,72,3323664,3323664,3308160,-15504,0.9953352685470012,8.845924939391976,14.447371633746956,5.60144669435498,393216
1000000,16,min,72,3323664,3323664,3308160,-15504,0.9953352685470012,9.25534916504965,14.447371633746956,5.192022468697306,393216
1000000,64,max,36,2181960,2181960,2156288,-25672,0.9882344314286238,8.41501054243516,14.577939775925648,6.1629292334904875,393216
1000000,64,min,36,2181960,2181960,2156288,-25672,0.9882344314286238,8.78234994588262,14.577939775925648,5.795589830043028,393216
1000000,128,max,24,1695792,1695792,1667800,-27992,0.9834932586071877,8.410655372476173,14.364551061316382,5.953895688840209,393216
1000000,128,min,24,1695792,1695792,1667800,-27992,0.9834932586071877,8.739229240154815,14.364551061316382,5.625321821161567,393216
10000000,16,max,228,17353992,17353992,17322128,-31864,0.9981638806794425,8.814677786018889,14.745344017125383,5.930666231106494,393216
10000000,16,min,228,17353992,17353992,17322128,-31864,0.9981638806794425,9.077995700351263,14.745344017125383,5.66734831677412,393216
10000000,64,max,114,13738596,13738596,13707440,-31156,0.9977322282422454,8.245663029662634,14.539259168166149,6.293596138503515,393216
10000000,64,min,114,13738596,13738596,13707440,-31156,0.9977322282422454,8.398748360447964,14.539259168166149,6.140510807718185,393216
10000000,128,max,80,12533920,12533920,12463288,-70632,0.9943647318636148,8.14068676051447,14.78529037403155,6.644603613517081,393216
10000000,128,min,80,12533920,12533920,12463288,-70632,0.9943647318636148,8.315471810304512,14.78529037403155,6.4698185637270385,393216
