budget,k,gpt_target_params,gpt_actual_params,gpt_d_model,gpt_layers,gpt_heads,gpt_updates,gpt_train_tokens,latin_train_tokens,token_exposure_ratio,latin_max_loss,latin_min_loss,gpt_validation_loss,gpt_minus_latin_max,gpt_minus_latin_min
1000000,16,3323664,3320382,78,11,1,4069,6249984,393216,15.89453125,8.845924939391976,9.25534916504965,6.7748025429399705,-2.0711223964520054,-2.480546622109679
1000000,64,2181960,2174315,55,11,1,17353,26654208,393216,67.78515625,8.41501054243516,8.78234994588262,5.814967973322808,-2.600042569112352,-2.967381972559812
1000000,128,1695792,1694700,45,10,1,39024,59940864,393216,152.4375,8.410655372476173,8.739229240154815,5.468192040165769,-2.942463332310404,-3.2710371999890464
10000000,16,17353992,17314180,260,11,4,4008,6156288,393216,15.65625,8.814677786018889,9.077995700351263,6.533915317511257,-2.280762468507632,-2.544080382840006
10000000,64,13738596,13692240,216,12,4,15742,24179712,393216,61.4921875,8.245663029662634,8.398748360447964,5.387008766584758,-2.8586542630778755,-3.011739593863206
10000000,128,12533920,12423632,208,11,4,32767,50330112,393216,127.99609375,8.14068676051447,8.315471810304512,4.821999171112157,-3.3186875894023125,-3.4934726391923547
